1.0.0,Luka,"Ma daj, night already?",,ESSpatial,
1.0.1,Unknown,-..-..-..-,,ESRadio, 4.0
1.0.2.A,Luka,"YU2KL, YU2KL, Professor?",,ESSpatial,
1.0.2.B,Luka,Beep Boop Beep Boop,,ESSpatial,
1.0.3.A.S1,Luka,"YU2KL, responding to call. Professor? ",,ESSpatial,
1.0.3.A.S2,Unknown,-..-,,ESRadio, 3.0
1.0.3.A.S3,Anton,"Da, da... polako Luka.",,ESRadio,
1.0.3.A.S4,Anton,I stand up one second for tea and you appear like a ghost.,,ESRadio,
1.0.3.A.S5,Anton,"And don't call me professor: ""Anton.""",,ESRadio,
1.0.3.A.S6,Anton,I retired that title years ago.,,ESRadio,
1.0.3.B.S1,Luka,Beeeeeeep Boooooooop,,ESSpatial,
1.0.3.B.S2,Unknown,-..-,,ESRadio,
1.0.3.B.S3,Anton,"Ma daj Luka, these are public you know! [laughs]",,ESRadio,
1.0.3.B.S4,Anton,"I was getting tea, sorry. How's the least attentive student",,ESRadio,
1.0.3.B.S5,Anton,in all of Yougoslavia doing?,,ESRadio,
1.0.4.A.S1,Luka,"Okay ""Anton"".",,ESSpatial,
1.0.4.A.S2,Anton,Eh. Sounds strange. Like you're talking to someone else! But,,ESRadio,
1.0.4.B.S1,Luka,"You'll always be ""professor"" to me.",,ESSpatial,
1.0.4.B.S2,Anton,"[laughs] Bogami, if flattery kept a man warm",,ESRadio,
1.0.4.B.S3,Anton,I'd move to the mountains with you.,,ESRadio,
1.0.4.C.S1,Luka,You forgot your call sign.,,ESSpatial,
1.0.4.C.S2,Anton,And you forgot the clock! Thirty minutes.,,ESRadio,
1.0.4.C.S3,Anton,In my class you'd be outside.,,ESRadio,
1.0.5.A.S1,Luka,Class? I guess I should still call you professor then.,,ESSpatial,
1.0.5.A.S2,Anton,Oh no. I escaped that once already. Don't curse me.,,ESRadio,
1.0.5.B.S1,Luka,I was busy with mountain-related things.,,ESSpatial,
1.0.5.B.S2,Anton,You mean freezing and talking to squirrels?,,ESRadio,
1.0.6.A.S1,Luka,You didn't let the machine finish its sentence.,,ESSpatial,
1.0.6.A.S2,Anton,"Ma daj, two years alone and you're talking with machines.",,ESRadio,
1.0.6.A.S3,Anton,How long before you make coconut friends?,,ESRadio
1.0.6.B,Luka,Hard to say. Winter changes schedules.,,ESSpatial
1.0.6.C,Luka,I'm doing great. The radio and the furnace both function.,,ESSpatial
1.0.7.S1,Anton,Ako Bog da. You made it 2 years longer,,ESRadio
1.0.7.S2,Anton,than I expected honestly.,,ESRadio
1.0.8.A.S1,Luka,You thought I'd die?,,ESSpatial
1.0.8.A.S2,Anton,I thought you'd get bored first.,,ESRadio
1.0.8.A.S3,Anton,Easier end. You're still stubborn.,,ESRadio
1.0.8.A.S4,Luka,I don't get bored,,ESSpatial
1.0.8.B.S1,Luka,Why surprised?,,ESSpatial
1.0.8.B.S2,Anton,"At fakultet your head was in circuits, not axes.",,ESRadio
1.0.8.B.S3,Luka,I've kept most of the circuits.,,ESSpatial
1.0.8.B.S4,Anton,"Still, still",,ESRadio
1.0.9.S1,Anton,all this reminds me off is rude students and,,ESRadio
1.0.9.S2,Anton,ruder colleagues.,,ESRadio
1.0.10.A,Luka,Really? I don't recall,,ESSpatial
1.0.10.B,Luka,Some of the other teachers were nice too no?,,ESSpatial
1.0.11.S1,Anton,Maybe you'd know if you went to their classes! [laughs],,ESRadio
1.0.11.S2,Anton,Some of them were fine. ,,ESRadio
1.0.11.S3,Anton,"But when my boys died in the war,",,ESRadio
1.0.11.S4,Anton,I had to fight for a day off.,,ESRadio
1.0.17.A,Luka,I remember that day fondly...,,ESSpatial
1.0.17.B,Luka,Understood.,,ESSpatial
1.0.18.A,Anton,Ma daj! you never stop do you? [chuckles],,ESRadio
1.0.18.B,Anton,It's done. No use polishing it.,,ESRadio
1.0.19.S1,Anton,"How's the winter going for you? You'll be fine, yes?",,ESRadio
1.0.19.S2,Anton,Don't make me come and dig you out.,,ESRadio
1.0.20.A,Luka,I measured. Twice last year's wood. If nothing rots ,,ESSpatial
1.0.20.B.S1,Luka,"Antenna's are braced. if it snaps, I have wire.",,ESSpatial
1.0.20.B.S2,Luka,Radio should hold.,,ESSpatial
1.0.21.S1,Anton,Honestly I worry about your head.,,ESRadio
1.0.21.S2,Anton,Seriously Luka... Drinks are best shared no?,,ESRadio
